ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
575,West Bengal,Kolkata,Locality_28,Apartment,2,3467,335.02,0.1,2019,Furnished,6,25,6,8,10,Medium,Yes,No,"Clubhouse, Playground, Gym, Garden",North,Broker,Under_Construction
576,Uttar Pradesh,Noida,Locality_82,Villa,3,2084,164.46,0.08,1996,Furnished,22,20,29,8,7,Low,No,Yes,"Garden, Playground, Pool, Clubhouse, Gym",West,Owner,Under_Construction
577,Delhi,Dwarka,Locality_15,Independent House,4,2433,56.7,0.02,2020,Semi-furnished,13,26,5,6,1,Low,No,Yes,Gym,East,Broker,Ready_to_Move
578,Telangana,Hyderabad,Locality_297,Villa,5,4412,198.83,0.05,2023,Unfurnished,9,4,2,8,3,Low,No,Yes,"Clubhouse, Playground, Gym, Garden",West,Builder,Ready_to_Move
579,Telangana,Hyderabad,Locality_244,Villa,5,4535,377.08,0.08,1992,Unfurnished,6,9,33,9,10,Low,No,No,"Pool, Clubhouse",South,Broker,Ready_to_Move
580,Haryana,Gurgaon,Locality_401,Apartment,5,4933,289.54,0.06,2001,Unfurnished,22,24,24,9,5,High,No,Yes,"Clubhouse, Garden, Pool",West,Builder,Ready_to_Move
581,Chhattisgarh,Raipur,Locality_316,Independent House,3,1491,22.9,0.02,2018,Semi-furnished,19,22,7,2,9,Low,Yes,No,"Playground, Gym, Garden, Pool",East,Owner,Under_Construction
582,Bihar,Gaya,Locality_109,Independent House,5,4095,395.76,0.1,1995,Unfurnished,29,30,30,5,6,High,No,No,"Playground, Pool, Gym, Garden, Clubhouse",West,Broker,Ready_to_Move
583,Telangana,Warangal,Locality_231,Apartment,4,2098,389.45,0.19,2007,Unfurnished,15,8,18,5,5,Medium,No,Yes,Gym,East,Owner,Under_Construction
584,Karnataka,Bangalore,Locality_155,Villa,3,1894,213.43,0.11,2019,Unfurnished,17,22,6,9,6,Medium,Yes,Yes,"Playground, Gym, Garden",West,Broker,Ready_to_Move
585,Uttar Pradesh,Lucknow,Locality_481,Independent House,5,3061,180.93,0.06,2022,Semi-furnished,30,29,3,2,5,Low,Yes,Yes,"Garden, Clubhouse",East,Owner,Under_Construction
586,Telangana,Hyderabad,Locality_376,Apartment,4,1758,455.02,0.26,2023,Furnished,6,12,2,4,8,High,Yes,No,"Clubhouse, Pool, Playground, Gym, Garden",East,Broker,Ready_to_Move
587,Andhra Pradesh,Vijayawada,Locality_102,Independent House,3,3766,400.38,0.11,2010,Unfurnished,28,15,15,9,7,High,No,No,"Playground, Gym",North,Broker,Ready_to_Move
588,Jharkhand,Jamshedpur,Locality_386,Independent House,5,2186,426.59,0.2,2019,Furnished,0,13,6,5,4,High,Yes,Yes,"Pool, Playground, Clubhouse, Gym",West,Owner,Ready_to_Move
589,Maharashtra,Mumbai,Locality_289,Villa,3,4945,210.14,0.04,2019,Semi-furnished,10,6,6,5,5,Medium,No,Yes,"Clubhouse, Playground, Gym, Garden",North,Broker,Under_Construction
590,Jharkhand,Ranchi,Locality_113,Apartment,1,2351,26.63,0.01,1993,Semi-furnished,28,15,32,6,3,Medium,No,No,Pool,North,Owner,Ready_to_Move
591,Andhra Pradesh,Vishakhapatnam,Locality_406,Independent House,3,711,70.12,0.1,1997,Semi-furnished,13,2,28,1,5,Medium,Yes,Yes,Gym,East,Builder,Ready_to_Move
592,Odisha,Bhubaneswar,Locality_492,Independent House,1,1980,225.15,0.11,2007,Semi-furnished,20,1,18,4,6,Medium,Yes,No,Pool,South,Builder,Under_Construction
593,Maharashtra,Pune,Locality_238,Villa,4,4651,203.7,0.04,2011,Furnished,28,22,14,8,4,High,No,Yes,"Gym, Playground",West,Builder,Under_Construction
594,Madhya Pradesh,Indore,Locality_24,Independent House,1,4367,72.22,0.02,2018,Furnished,18,11,7,10,2,Low,No,No,"Gym, Playground, Pool",East,Builder,Ready_to_Move
595,Kerala,Trivandrum,Locality_161,Apartment,4,2103,425.6,0.2,1996,Semi-furnished,16,21,29,9,2,Low,Yes,No,"Gym, Playground, Garden, Pool",North,Builder,Ready_to_Move
596,Andhra Pradesh,Vishakhapatnam,Locality_370,Independent House,2,4603,113.88,0.02,2020,Semi-furnished,16,14,5,6,10,High,No,Yes,"Pool, Garden, Gym, Playground",South,Broker,Under_Construction
597,Telangana,Hyderabad,Locality_20,Independent House,5,4453,18.89,0,2003,Semi-furnished,5,5,22,8,9,High,No,No,"Playground, Garden, Gym, Clubhouse",North,Builder,Under_Construction
598,Chhattisgarh,Bilaspur,Locality_152,Independent House,3,4844,223.38,0.05,1996,Unfurnished,28,20,29,2,7,Low,Yes,No,"Pool, Playground, Gym, Clubhouse, Garden",East,Owner,Ready_to_Move
599,Chhattisgarh,Raipur,Locality_131,Villa,3,3604,187.19,0.05,1998,Unfurnished,24,30,27,5,8,Low,No,No,"Clubhouse, Playground, Pool, Gym",North,Broker,Ready_to_Move
600,Uttarakhand,Dehradun,Locality_292,Villa,4,1614,74.04,0.05,2021,Furnished,28,25,4,5,10,Low,Yes,No,"Gym, Pool, Clubhouse, Playground",East,Builder,Ready_to_Move
601,Rajasthan,Jaipur,Locality_362,Apartment,3,956,266.13,0.28,2006,Semi-furnished,8,29,19,1,3,Medium,Yes,No,Clubhouse,East,Owner,Under_Construction
602,Odisha,Bhubaneswar,Locality_155,Apartment,5,2572,276.27,0.11,2003,Unfurnished,3,24,22,7,3,Medium,Yes,No,"Clubhouse, Garden, Gym, Playground, Pool",East,Builder,Ready_to_Move
603,Rajasthan,Jaipur,Locality_137,Villa,5,714,95.86,0.13,2000,Furnished,29,15,25,2,10,Medium,No,Yes,"Gym, Clubhouse, Garden",West,Owner,Ready_to_Move
604,Punjab,Amritsar,Locality_418,Independent House,3,4518,181.22,0.04,2002,Unfurnished,21,17,23,4,4,Low,No,No,"Pool, Garden, Playground",East,Broker,Under_Construction
605,Telangana,Warangal,Locality_436,Villa,1,1065,211.92,0.2,1990,Unfurnished,10,21,35,4,3,Medium,Yes,No,"Playground, Gym, Pool",West,Builder,Under_Construction
606,Odisha,Cuttack,Locality_380,Apartment,5,1802,261.84,0.15,2013,Unfurnished,18,24,12,1,8,High,No,No,Clubhouse,East,Builder,Ready_to_Move
607,Maharashtra,Nagpur,Locality_261,Apartment,1,3171,403,0.13,1998,Furnished,24,5,27,2,5,Medium,No,No,"Playground, Gym, Clubhouse",West,Owner,Ready_to_Move
608,Andhra Pradesh,Vijayawada,Locality_330,Independent House,5,1763,49.12,0.03,2022,Unfurnished,10,9,3,10,6,High,No,Yes,"Clubhouse, Garden",South,Broker,Under_Construction
609,Haryana,Gurgaon,Locality_421,Independent House,5,3438,17.27,0.01,2019,Unfurnished,12,11,6,6,2,High,Yes,No,"Gym, Playground, Pool",North,Broker,Ready_to_Move
610,Andhra Pradesh,Vishakhapatnam,Locality_378,Apartment,5,1073,233.3,0.22,1999,Semi-furnished,6,6,26,1,3,Low,No,Yes,"Pool, Playground, Gym",East,Builder,Under_Construction
611,Gujarat,Ahmedabad,Locality_398,Apartment,5,4654,317.99,0.07,1999,Furnished,19,24,26,5,4,Medium,Yes,No,Garden,South,Owner,Under_Construction
612,Bihar,Patna,Locality_197,Villa,5,3791,100.16,0.03,1995,Furnished,4,18,30,10,3,High,No,Yes,"Gym, Garden, Pool",East,Broker,Under_Construction
613,West Bengal,Durgapur,Locality_357,Apartment,4,777,387.53,0.5,1993,Unfurnished,7,20,32,4,6,Medium,No,No,"Clubhouse, Pool, Garden",East,Builder,Ready_to_Move
614,Uttarakhand,Dehradun,Locality_383,Independent House,1,3874,261.64,0.07,1991,Furnished,18,1,34,2,9,Medium,Yes,Yes,"Playground, Garden, Clubhouse, Gym, Pool",West,Builder,Ready_to_Move
615,Chhattisgarh,Bilaspur,Locality_472,Independent House,1,4718,325.57,0.07,2012,Furnished,16,5,13,1,3,Low,No,Yes,"Playground, Garden, Gym",East,Owner,Ready_to_Move
616,Maharashtra,Nagpur,Locality_301,Villa,3,2972,425.41,0.14,2015,Furnished,28,6,10,1,8,Medium,Yes,No,"Playground, Garden, Gym",West,Builder,Under_Construction
617,Andhra Pradesh,Vijayawada,Locality_327,Independent House,4,3467,399.84,0.12,2021,Unfurnished,23,28,4,10,10,High,Yes,No,Garden,South,Builder,Under_Construction
618,Jharkhand,Jamshedpur,Locality_459,Villa,2,4272,100.28,0.02,2007,Semi-furnished,21,25,18,10,2,Low,Yes,Yes,"Playground, Clubhouse",West,Owner,Ready_to_Move
619,Jharkhand,Jamshedpur,Locality_7,Apartment,2,683,423.31,0.62,2002,Semi-furnished,2,24,23,9,1,Medium,Yes,Yes,"Gym, Playground, Pool, Clubhouse, Garden",North,Broker,Ready_to_Move
620,Maharashtra,Mumbai,Locality_334,Villa,1,1167,220.74,0.19,2011,Unfurnished,16,28,14,3,6,Medium,No,Yes,"Playground, Pool, Clubhouse, Garden",East,Owner,Ready_to_Move
621,Delhi,New Delhi,Locality_365,Villa,1,2552,406.23,0.16,2018,Semi-furnished,17,10,7,4,1,Medium,No,No,"Playground, Pool, Garden, Gym, Clubhouse",North,Builder,Ready_to_Move
622,Telangana,Hyderabad,Locality_106,Apartment,4,2629,354.91,0.13,1994,Furnished,7,7,31,8,6,High,No,Yes,"Clubhouse, Garden",West,Owner,Under_Construction
623,West Bengal,Kolkata,Locality_143,Apartment,1,2465,254.39,0.1,2004,Furnished,22,27,21,2,9,Low,Yes,Yes,"Garden, Clubhouse",North,Broker,Ready_to_Move
624,Bihar,Gaya,Locality_133,Independent House,1,868,260.97,0.3,2018,Semi-furnished,1,24,7,3,8,High,Yes,No,"Gym, Playground, Pool, Garden",East,Broker,Ready_to_Move
625,Gujarat,Surat,Locality_177,Villa,3,4295,71.73,0.02,2012,Furnished,30,9,13,4,8,Medium,Yes,Yes,Gym,West,Owner,Ready_to_Move
626,Karnataka,Mangalore,Locality_102,Apartment,5,4366,309.59,0.07,2015,Unfurnished,7,23,10,3,3,Medium,No,Yes,Gym,South,Broker,Ready_to_Move
627,Punjab,Amritsar,Locality_442,Apartment,4,4897,410.45,0.08,2022,Semi-furnished,25,24,3,1,4,Low,No,No,"Pool, Playground",South,Builder,Under_Construction
628,Andhra Pradesh,Vijayawada,Locality_186,Independent House,1,2637,384.15,0.15,1991,Furnished,26,6,34,3,1,Low,Yes,No,"Garden, Playground, Gym, Clubhouse",North,Broker,Under_Construction
629,Haryana,Faridabad,Locality_478,Independent House,1,3119,143.16,0.05,2013,Furnished,18,1,12,4,9,Medium,Yes,Yes,"Pool, Gym, Garden",East,Builder,Under_Construction
630,Uttar Pradesh,Noida,Locality_261,Independent House,5,4163,264.53,0.06,1993,Unfurnished,27,20,32,3,10,Medium,No,Yes,"Garden, Gym, Pool",East,Broker,Under_Construction
631,Bihar,Patna,Locality_325,Villa,5,732,394.52,0.54,1992,Semi-furnished,3,1,33,8,5,Low,Yes,No,"Garden, Playground, Pool",East,Owner,Ready_to_Move
632,Haryana,Gurgaon,Locality_118,Apartment,3,3115,356.57,0.11,2006,Semi-furnished,6,27,19,6,9,Low,No,Yes,"Garden, Gym",North,Builder,Under_Construction
633,Haryana,Faridabad,Locality_203,Villa,4,4060,133.75,0.03,2001,Unfurnished,19,3,24,10,8,Low,Yes,No,"Playground, Pool",East,Owner,Under_Construction
634,Andhra Pradesh,Vishakhapatnam,Locality_401,Independent House,2,2679,326.03,0.12,2008,Furnished,9,15,17,2,10,Low,No,No,"Clubhouse, Garden, Gym",West,Broker,Ready_to_Move
635,Punjab,Amritsar,Locality_449,Villa,5,1463,257.78,0.18,2019,Semi-furnished,19,9,6,5,7,High,No,No,"Garden, Playground, Pool, Gym, Clubhouse",North,Owner,Under_Construction
636,Telangana,Hyderabad,Locality_262,Independent House,1,1959,102.17,0.05,2021,Semi-furnished,2,20,4,3,1,Medium,Yes,No,Garden,West,Builder,Ready_to_Move
637,Punjab,Amritsar,Locality_25,Villa,4,3321,160.6,0.05,2000,Semi-furnished,22,14,25,7,10,Medium,Yes,Yes,"Clubhouse, Gym, Playground, Garden, Pool",West,Owner,Ready_to_Move
638,Delhi,Dwarka,Locality_30,Villa,1,2310,234.67,0.1,2020,Semi-furnished,0,12,5,1,7,High,Yes,Yes,"Pool, Gym, Clubhouse, Garden, Playground",North,Broker,Under_Construction
639,Odisha,Cuttack,Locality_262,Villa,3,1641,67.35,0.04,1992,Unfurnished,5,11,33,9,10,Medium,No,No,Gym,North,Builder,Ready_to_Move
640,Maharashtra,Nagpur,Locality_233,Apartment,5,2262,156.16,0.07,2011,Semi-furnished,29,8,14,5,10,Medium,Yes,No,"Gym, Pool, Playground, Garden, Clubhouse",East,Owner,Under_Construction
641,Chhattisgarh,Bilaspur,Locality_348,Apartment,5,1815,78.2,0.04,2018,Furnished,0,9,7,9,5,Low,Yes,Yes,"Playground, Clubhouse, Garden",North,Builder,Ready_to_Move
642,Karnataka,Mysore,Locality_86,Independent House,3,1218,100.15,0.08,1998,Furnished,13,3,27,5,1,Low,Yes,No,Clubhouse,East,Broker,Ready_to_Move
643,Madhya Pradesh,Bhopal,Locality_338,Independent House,2,3158,113,0.04,2015,Semi-furnished,15,8,10,8,8,Low,Yes,No,"Playground, Garden, Gym, Clubhouse",East,Builder,Ready_to_Move
644,Rajasthan,Jaipur,Locality_236,Apartment,5,675,139.11,0.21,2011,Furnished,17,21,14,6,3,Medium,No,Yes,"Pool, Gym",West,Broker,Under_Construction
645,Delhi,Dwarka,Locality_133,Independent House,1,1076,254.14,0.24,1993,Unfurnished,10,15,32,9,3,High,No,No,Gym,North,Owner,Under_Construction
646,Karnataka,Bangalore,Locality_446,Villa,2,2363,312.84,0.13,2008,Furnished,9,19,17,9,1,Low,Yes,Yes,"Pool, Gym, Playground, Garden",East,Builder,Under_Construction
647,Maharashtra,Mumbai,Locality_291,Apartment,2,2271,326.97,0.14,2018,Unfurnished,12,30,7,7,4,Low,No,Yes,"Pool, Garden, Gym, Clubhouse",South,Owner,Ready_to_Move
648,Rajasthan,Jaipur,Locality_491,Apartment,2,1992,124.28,0.06,2020,Furnished,5,26,5,2,1,High,No,No,"Clubhouse, Gym, Pool, Garden",South,Owner,Ready_to_Move
649,Uttar Pradesh,Noida,Locality_197,Independent House,2,3162,170.34,0.05,1996,Semi-furnished,29,3,29,1,10,Medium,Yes,Yes,"Clubhouse, Gym, Garden, Playground, Pool",South,Owner,Under_Construction
650,Maharashtra,Pune,Locality_422,Villa,5,3369,183.98,0.05,2007,Furnished,21,8,18,7,1,Low,Yes,No,"Pool, Garden, Gym",North,Broker,Ready_to_Move
651,Uttarakhand,Dehradun,Locality_234,Villa,2,1974,441.82,0.22,2023,Unfurnished,25,27,2,3,9,High,No,No,Clubhouse,West,Builder,Under_Construction
652,West Bengal,Durgapur,Locality_229,Villa,3,3640,187.18,0.05,2000,Unfurnished,17,4,25,6,9,Low,Yes,No,"Pool, Garden, Gym, Playground",East,Builder,Under_Construction
653,Rajasthan,Jodhpur,Locality_120,Independent House,5,4256,313.3,0.07,2007,Furnished,4,7,18,1,8,Low,No,Yes,"Garden, Gym, Playground",West,Owner,Ready_to_Move
654,West Bengal,Durgapur,Locality_239,Villa,5,2191,360.78,0.16,2001,Semi-furnished,20,26,24,9,1,Medium,Yes,Yes,"Playground, Garden, Clubhouse, Gym, Pool",East,Owner,Under_Construction
655,Odisha,Bhubaneswar,Locality_170,Independent House,4,4479,14.73,0,2023,Semi-furnished,19,25,2,2,6,Medium,No,Yes,"Clubhouse, Pool",East,Owner,Under_Construction
656,Tamil Nadu,Coimbatore,Locality_212,Apartment,3,4046,384.89,0.1,2011,Unfurnished,19,6,14,5,8,Medium,Yes,Yes,Playground,South,Builder,Ready_to_Move
657,Jharkhand,Ranchi,Locality_203,Apartment,1,4273,230.44,0.05,2016,Furnished,30,8,9,6,9,High,No,Yes,"Garden, Clubhouse",South,Broker,Under_Construction
658,Uttar Pradesh,Noida,Locality_207,Villa,2,1931,88,0.05,2007,Unfurnished,22,26,18,2,4,Medium,Yes,Yes,"Gym, Playground",West,Owner,Under_Construction
659,Bihar,Patna,Locality_224,Independent House,1,4104,364.43,0.09,1995,Furnished,19,11,30,5,3,High,No,Yes,Garden,South,Builder,Ready_to_Move
660,Punjab,Amritsar,Locality_219,Independent House,2,3789,377.45,0.1,1996,Unfurnished,6,8,29,2,10,Medium,Yes,Yes,"Playground, Pool",South,Broker,Ready_to_Move
661,Madhya Pradesh,Bhopal,Locality_245,Villa,3,3862,342.68,0.09,2006,Furnished,24,27,19,5,2,Medium,Yes,No,"Playground, Pool",East,Owner,Under_Construction
662,Gujarat,Surat,Locality_11,Independent House,2,2117,367.72,0.17,2014,Semi-furnished,5,17,11,4,2,Low,Yes,Yes,"Clubhouse, Garden, Pool, Gym",West,Broker,Ready_to_Move
663,Uttarakhand,Dehradun,Locality_132,Villa,5,4684,240.85,0.05,2018,Semi-furnished,24,30,7,8,3,High,No,No,"Garden, Playground, Pool",North,Owner,Ready_to_Move
664,Uttarakhand,Dehradun,Locality_388,Apartment,1,2314,256.3,0.11,2023,Unfurnished,5,10,2,2,8,High,Yes,No,"Pool, Gym, Playground, Garden",East,Owner,Ready_to_Move
665,Tamil Nadu,Coimbatore,Locality_64,Villa,2,4524,363.55,0.08,2023,Unfurnished,6,25,2,3,7,Low,No,No,Clubhouse,East,Owner,Under_Construction
666,Gujarat,Surat,Locality_474,Independent House,1,872,15.92,0.02,2012,Semi-furnished,19,19,13,1,6,Low,Yes,No,"Garden, Playground, Gym, Pool, Clubhouse",East,Builder,Under_Construction
667,Kerala,Kochi,Locality_221,Villa,4,3908,116.44,0.03,2020,Semi-furnished,3,28,5,7,8,Low,No,Yes,"Playground, Garden, Clubhouse, Gym",South,Owner,Ready_to_Move
668,Tamil Nadu,Coimbatore,Locality_200,Independent House,5,2213,381.31,0.17,2012,Semi-furnished,27,20,13,7,1,Medium,No,Yes,"Clubhouse, Playground, Pool",West,Builder,Ready_to_Move
669,Jharkhand,Ranchi,Locality_51,Apartment,3,1569,45.63,0.03,1990,Semi-furnished,6,12,35,7,2,Medium,No,No,"Clubhouse, Pool, Gym, Garden",South,Broker,Ready_to_Move
670,Maharashtra,Mumbai,Locality_462,Apartment,2,1020,253.97,0.25,2019,Furnished,2,30,6,10,2,Low,Yes,No,"Playground, Gym, Garden, Clubhouse, Pool",South,Owner,Under_Construction
671,Kerala,Trivandrum,Locality_178,Apartment,2,3547,217.37,0.06,1990,Furnished,26,3,35,9,2,Medium,Yes,No,"Playground, Garden, Clubhouse, Gym, Pool",East,Builder,Ready_to_Move
672,Jharkhand,Jamshedpur,Locality_300,Villa,5,2834,63.06,0.02,2004,Semi-furnished,0,2,21,2,5,Medium,Yes,No,"Pool, Garden, Playground",North,Broker,Under_Construction
673,Andhra Pradesh,Vijayawada,Locality_301,Villa,1,1320,375.68,0.28,1993,Semi-furnished,27,19,32,6,1,High,No,Yes,"Garden, Pool, Gym, Playground",North,Owner,Under_Construction
674,Andhra Pradesh,Vijayawada,Locality_159,Apartment,2,2004,462.88,0.23,2003,Semi-furnished,27,25,22,6,9,Low,Yes,Yes,"Garden, Gym, Pool",East,Builder,Ready_to_Move
675,Uttar Pradesh,Noida,Locality_177,Apartment,5,1820,475.06,0.26,1998,Furnished,17,8,27,3,8,Medium,No,Yes,"Clubhouse, Playground, Gym, Pool, Garden",South,Owner,Ready_to_Move
676,Delhi,Dwarka,Locality_133,Villa,1,3074,444.84,0.14,1997,Furnished,1,23,28,2,5,High,No,No,"Clubhouse, Gym, Pool",North,Owner,Ready_to_Move
677,Jharkhand,Ranchi,Locality_239,Villa,3,4990,181.69,0.04,2003,Semi-furnished,28,25,22,3,10,Low,No,Yes,"Clubhouse, Gym, Garden",West,Broker,Ready_to_Move
678,Rajasthan,Jodhpur,Locality_328,Independent House,5,3266,273.3,0.08,1997,Unfurnished,12,6,28,8,7,Medium,Yes,Yes,"Playground, Clubhouse, Gym",South,Builder,Ready_to_Move
679,Tamil Nadu,Chennai,Locality_272,Villa,5,1684,200.5,0.12,2008,Unfurnished,10,14,17,6,10,Medium,No,No,"Garden, Gym, Clubhouse, Playground",West,Owner,Ready_to_Move
680,Kerala,Kochi,Locality_443,Villa,1,4109,45.14,0.01,2012,Unfurnished,26,1,13,8,9,High,Yes,Yes,"Gym, Garden, Pool, Clubhouse",North,Owner,Ready_to_Move
681,Uttarakhand,Haridwar,Locality_242,Independent House,3,4209,474.55,0.11,2005,Semi-furnished,14,11,20,10,1,Medium,No,Yes,"Clubhouse, Gym",South,Broker,Under_Construction
682,Tamil Nadu,Coimbatore,Locality_410,Villa,5,2180,56.31,0.03,1995,Unfurnished,27,7,30,1,4,Medium,Yes,Yes,"Clubhouse, Playground, Garden",North,Owner,Under_Construction
683,Jharkhand,Jamshedpur,Locality_319,Villa,4,1477,444.2,0.3,1999,Unfurnished,19,27,26,10,9,Medium,Yes,Yes,"Clubhouse, Playground",West,Owner,Under_Construction
684,Karnataka,Mysore,Locality_392,Independent House,2,726,128.54,0.18,2015,Semi-furnished,1,7,10,6,8,Low,No,Yes,"Pool, Garden, Gym",North,Builder,Ready_to_Move
685,Madhya Pradesh,Indore,Locality_454,Independent House,1,1143,282.84,0.25,1991,Furnished,12,29,34,1,4,Low,No,No,Gym,North,Owner,Under_Construction
686,Chhattisgarh,Bilaspur,Locality_209,Villa,1,2657,419.53,0.16,2019,Furnished,2,17,6,2,5,Medium,Yes,Yes,"Gym, Clubhouse, Garden",South,Builder,Ready_to_Move
687,Telangana,Hyderabad,Locality_96,Apartment,2,3433,115.62,0.03,2020,Furnished,6,26,5,5,3,Medium,Yes,No,"Pool, Garden",North,Owner,Ready_to_Move
688,Madhya Pradesh,Bhopal,Locality_196,Independent House,2,1779,158.34,0.09,2002,Furnished,13,16,23,8,8,Medium,Yes,No,"Pool, Playground, Garden, Gym",South,Builder,Under_Construction
689,Delhi,Dwarka,Locality_205,Villa,4,4165,418.1,0.1,1992,Unfurnished,24,16,33,4,8,Low,No,Yes,"Playground, Gym, Garden, Clubhouse",East,Owner,Under_Construction
690,Assam,Silchar,Locality_261,Villa,2,4898,108.59,0.02,1996,Unfurnished,13,18,29,5,8,Low,Yes,No,Playground,North,Broker,Under_Construction
691,Haryana,Faridabad,Locality_409,Villa,4,3893,379.88,0.1,2016,Semi-furnished,16,27,9,10,9,Low,No,No,"Clubhouse, Garden, Gym, Pool",East,Broker,Ready_to_Move
692,Maharashtra,Nagpur,Locality_325,Villa,3,3296,363.65,0.11,2021,Semi-furnished,22,17,4,1,5,High,No,Yes,Gym,North,Broker,Under_Construction
693,Telangana,Warangal,Locality_345,Villa,4,3176,422.41,0.13,2006,Semi-furnished,4,13,19,9,7,Low,No,Yes,"Clubhouse, Garden",East,Owner,Ready_to_Move
694,Odisha,Bhubaneswar,Locality_420,Independent House,1,4193,204.44,0.05,1990,Furnished,21,27,35,4,4,Low,No,No,"Playground, Pool, Gym",East,Owner,Under_Construction
695,Tamil Nadu,Coimbatore,Locality_163,Apartment,5,824,464.32,0.56,2004,Unfurnished,18,13,21,5,5,Low,No,No,"Clubhouse, Pool, Playground",East,Broker,Ready_to_Move
696,Telangana,Warangal,Locality_165,Independent House,1,2634,165.55,0.06,2015,Semi-furnished,29,15,10,3,8,High,No,No,"Pool, Playground, Clubhouse, Garden, Gym",East,Builder,Ready_to_Move
697,Madhya Pradesh,Indore,Locality_375,Independent House,5,540,355.65,0.66,2016,Semi-furnished,14,5,9,1,6,Low,Yes,No,Pool,South,Builder,Ready_to_Move
698,Bihar,Patna,Locality_178,Villa,4,3542,310.41,0.09,2012,Semi-furnished,0,11,13,1,4,Medium,No,No,"Pool, Playground",South,Owner,Ready_to_Move
699,West Bengal,Kolkata,Locality_92,Apartment,2,4365,243.4,0.06,2002,Semi-furnished,12,8,23,5,10,Low,No,No,"Playground, Clubhouse",North,Builder,Ready_to_Move
700,Telangana,Warangal,Locality_351,Apartment,5,3985,219.7,0.06,1994,Semi-furnished,12,14,31,1,9,Low,Yes,Yes,"Pool, Gym, Clubhouse",East,Owner,Under_Construction
701,Gujarat,Ahmedabad,Locality_277,Apartment,5,3352,185.3,0.06,2021,Semi-furnished,29,21,4,4,10,Medium,No,No,"Playground, Gym, Pool",South,Builder,Under_Construction
702,Assam,Guwahati,Locality_435,Independent House,4,4872,474.45,0.1,1990,Unfurnished,16,21,35,4,4,High,No,No,"Garden, Gym, Clubhouse, Pool",South,Broker,Ready_to_Move
703,Punjab,Amritsar,Locality_265,Apartment,5,626,210.49,0.34,2018,Semi-furnished,3,3,7,9,2,Medium,Yes,No,Garden,East,Owner,Under_Construction
704,Uttarakhand,Dehradun,Locality_154,Villa,4,1564,166.3,0.11,1997,Semi-furnished,1,5,28,9,3,Low,No,No,"Garden, Clubhouse, Pool, Gym",West,Broker,Ready_to_Move
705,Chhattisgarh,Bilaspur,Locality_440,Villa,4,917,210.98,0.23,2005,Semi-furnished,26,20,20,4,6,High,No,No,"Gym, Clubhouse, Playground",East,Builder,Under_Construction
706,Odisha,Bhubaneswar,Locality_63,Independent House,2,611,359.75,0.59,1991,Furnished,28,1,34,3,5,Medium,Yes,No,"Playground, Pool",West,Owner,Ready_to_Move
707,Bihar,Patna,Locality_166,Apartment,4,718,387.03,0.54,1996,Furnished,15,25,29,6,8,Low,No,No,"Pool, Clubhouse, Garden, Gym, Playground",East,Owner,Ready_to_Move
708,Telangana,Warangal,Locality_351,Villa,3,789,494.11,0.63,2021,Furnished,15,8,4,10,10,Low,Yes,Yes,"Playground, Gym",East,Broker,Under_Construction
709,Jharkhand,Ranchi,Locality_236,Apartment,1,3612,405.64,0.11,2023,Semi-furnished,6,20,2,5,8,Medium,Yes,Yes,"Playground, Clubhouse, Garden",West,Owner,Under_Construction
710,Punjab,Amritsar,Locality_47,Villa,2,1338,366.62,0.27,2020,Unfurnished,29,22,5,8,8,Low,Yes,No,"Pool, Playground, Garden, Clubhouse",South,Broker,Under_Construction
711,Haryana,Faridabad,Locality_426,Villa,3,4721,158.07,0.03,2000,Furnished,14,30,25,7,9,Medium,Yes,No,"Clubhouse, Pool, Gym",North,Owner,Under_Construction
712,Rajasthan,Jaipur,Locality_343,Apartment,5,792,213.49,0.27,2018,Unfurnished,18,21,7,6,4,Low,Yes,Yes,"Pool, Clubhouse, Playground, Gym",South,Owner,Ready_to_Move
713,Delhi,Dwarka,Locality_440,Apartment,5,3685,130.38,0.04,2005,Unfurnished,8,5,20,8,6,Low,Yes,No,"Pool, Gym, Garden",West,Broker,Under_Construction
714,Punjab,Ludhiana,Locality_5,Independent House,5,4359,493.63,0.11,2016,Furnished,20,19,9,7,3,High,No,Yes,"Clubhouse, Gym, Garden, Playground",West,Builder,Ready_to_Move
715,Bihar,Gaya,Locality_68,Independent House,4,4013,204.34,0.05,1997,Furnished,11,14,28,3,3,High,No,No,"Garden, Playground",South,Owner,Ready_to_Move
716,Rajasthan,Jaipur,Locality_293,Villa,3,768,12.95,0.02,2009,Furnished,13,19,16,7,1,High,No,Yes,"Pool, Clubhouse, Playground, Garden",East,Broker,Under_Construction
717,Bihar,Patna,Locality_177,Independent House,2,1534,370.55,0.24,2014,Semi-furnished,27,2,11,4,8,Low,No,No,"Pool, Playground, Garden, Clubhouse, Gym",West,Owner,Under_Construction
718,Jharkhand,Jamshedpur,Locality_11,Apartment,4,4490,150.61,0.03,1991,Unfurnished,23,4,34,7,10,Low,Yes,No,"Gym, Playground",West,Broker,Ready_to_Move
